,title,lyrics
0,A Hundred Years Ago,"A hundred years is a very long time,
Ho, yes, ho!
A hundred years is a very long time,
A hundred years ago.

They used to think that pigs could fly
Ho, yes, ho!
I don't believe it, no, not I.
A hundred years ago.

They thought he moon was made of cheese.
Ho, yes, ho!
You can believe it if you please.
A hundred years ago.

They thought the stars were set a-light,
Ho, yes, ho!
By some good angel every night,
A hundred years ago.

They hung a man for making steam,
They cast his body in the stream.
A hundred years ago.

A hundred years is a very long time,
Ho, yes, ho!
A hundred years is a very long time,
A hundred years ago."
1,"Aweigh, Santy Ano","From Boston Town we're bound away,
Heave aweigh (Heave aweigh!) Santy Ano.
Around Cape Horn to Frisco Bay,
We're bound for Californi-o.
So Heave her up and away we'll go,
Heave aweigh (Heave aweigh!) Santy Ano.
Heave her up and away we'll go,
We're bound for Californi-o.

She's a fast clipper ship and a bully crew,
Heave aweigh (Heave aweigh!) Santy Ano.
A down-east Yankee for her captain, too.
We're bound for Californi-o.
So Heave her up and away we'll go,
Heave aweigh (Heave aweigh!) Santy Ano.
Heave her up and away we'll go,
We're bound for Californi-o.

Back in the days of Forty-nine,
Heave aweigh (Heave aweigh!) Santy Ano.
Those were the days of the good old times,
Way out in Californi-o.
So Heave her up and away we'll go,
Heave aweigh (Heave aweigh!) Santy Ano.
Heave her up and away we'll go,
We're bound for Californi-o.

When I leave ship I'll settle down
Heave aweigh (Heave aweigh!) Santy Ano
I'll marry a girl named Sally Brown
Way out in Californi-o
So Heave her up and away we'll go,
Heave aweigh (Heave aweigh!) Santy Ano.
Heave her up and away we'll go,
We're bound for Californi-o.

There's plenty of gold, so I've been told,
Heave aweigh (Heave aweigh!) Santy Ano.
Plenty of gold so I've been told
Way out in Californi-o
So Heave her up and away we'll go,
Heave aweigh (Heave aweigh!) Santy Ano.
Heave her up and away we'll go,
We're bound for Californi-o."
2,The Black Ball Line,"In the Black Ball Line I serv'd my time
Hurrah for the Black Ball Line!
In the Black Ball Line I serv'd my time
Hurrah for the Black Ball Line!

The Black Ball ships are good and true,
Hurrah for the Black Ball Line!
They are the ships for me and you.
Hurrah for the Black Ball Line!

For once there was a Black Ball ship,
Hurrah for the Black Ball Line!
That fourteen knots an hour could slip,
Hurrah for the Black Ball Line!

Her yards were square, her gear all new,
Hurrah for the Black Ball Line!
She had a good and gallant crew,
Hurrah for the Black Ball Line!

One day whilst sailing on the sea,
Hurrah for the Black Ball Line!
They saw a vessel on their lee,
Hurrah for the Black Ball Line!

They knew it was a pirate craft,
All armed with guns before and aft,

She fired a shot across their bow,
Hurrah for the Black Ball Line!
Which was not kind you must allow,
Hurrah for the Black Ball Line!

They did not fear as you may think
Hurrah for the Black Ball Line!
But made the pirates water drink,
Hurrah for the Black Ball Line!

They gave that vessel their sharp stem,
Hurrah for the Black Ball Line!
And cut her through; more praise to them,
Hurrah for the Black Ball Line!

They seized the pirates' wicked mate,
Hurrah for the Black Ball Line!
He was so bad they broke his pate,
Hurrah for the Black Ball Line!

The skipper and his wicked crew,
Hurrah for the Black Ball Line!
They sunk beneath the waters blue,
Hurrah for the Black Ball Line!

It was a plucky thing to do
Hurrah for the Black Ball Line!
To cut the Pirate vessel through,
Hurrah for the Black Ball Line!

Then drink success to the Black Ball Line,
Hurrah for the Black Ball Line!
Their ships are good, their men are fine.
Hurrah for the Black Ball Line!

In the Black Ball Line I served my time,
Hurrah for the Black Ball Line!
In the Black Ball Line I served my time,
Hurrah for the Black Ball Line!"
3,Blow the Man Down,"Come all ye young fellows that follow the sea,
to my way haye, blow the man down,
And pray pay attention and listen to me,
Give me some time to blow the man down.


I'm a deep water sailor just in from Hong Kong,
to my way haye, blow the man down,
if you'll give me some grog, I'll sing you a song,
Give me some time to blow the man down.


'Twas on a Black Baller I first served my time,
to my way haye, blow the man down,
And on that Black Baller I wasted my prime,
Give me some time to blow the man down.


'Tis when a Black Baller's preparing for sea
to my way haye, blow the man down,
You'd split your sides laughing at the sights that you see.
Give me some time to blow the man down.


With the tinkers and tailors and soljers and all
to my way haye, blow the man down,
That ship for prime seaman on board a Black Ball.
Give me some time to blow the man down.


'Tis when a Black Baller is clear of the land,
to my way haye, blow the man down,
Our Boatswain then gives us the word of command
Give me some time to blow the man down.


""Lay aft,"" is the cry,""to the break of the Poop!
to my way haye, blow the man down,
Or I'll help you along with the toe of my boot!""
Give me some time to blow the man down.


'Tis larboard and starboard on the deck you will sprawl,
to my way haye, blow the man down,
For ""Kicking Jack"" Williams commands the Black Ball.
Give me some time to blow the man down.


Pay attention to order, now you one and all,
to my way haye, blow the man down,
For right there above you flies the Black Ball.
Give me some time to blow the man down."
4,"Blow Boys, Blow","A Yankee ship came down the river
Blow, boys, blow!
Her masts and spars they shone like silver
Blow my bully boys blow!

How do you know she's a Yankee liner?
Blow, boys, blow!
The Stars and Stripes float out behind her.
Blow my bully boys blow!

How do you know she's a Yankee packet?
Blow, boys, blow!
They fired a gun, I heard the racket
Blow my bully boys blow!

And who d'you think is the captain of her?
Blow, boys, blow!
Why, Bully Hayes is the captain of her.
Blow my bully boys blow!

Oh, Bully Hayes, he loves us sailors;
Blow, boys, blow!
Yes, he does like hell and blazes!
Blow my bully boys blow!

And who d'you think is the mate aboard her:
Blow, boys, blow!
Santander James is the mate aboard her.
Blow my bully boys blow!

Santander James, he's a rocket from hell, boys,
Blow, boys, blow!
He'll ride you down as you ride the spanker.
Blow my bully boys blow!

And what d'you think they've got for dinner?
Blow, boys, blow!
Pickled eels' feet and bullock's liver.
Blow my bully boys blow!

Then blow, my bullies, all together,
Blow, boys, blow!
Blow, my boys, for better weather.
Blow my bully boys blow!

Blow, boys, blow, the sun's drawing water;
Blow, boys, blow!
Three cheers for tlhe cook and one for his daughter.
Blow my bully boys blow!

A Yankee ship on the Congo River,
Blow, boys, blow!
Her masts they bend and her sails they shiver.
Blow my bully boys blow!"
5,Boney Was A Warrior,"Boney was a warrior,
Oh aye, oh,
Boney was a warrior,
John Franzo.

Boney marched to Moscow,
Oh aye, oh,
Boney marched to Moscow,
John Franzo.

Moscow all a-blazing,
Oh aye, oh,
Moscow all a-blazing,
John Franzo.

Boney had to turn again,
Oh aye, oh,
Boney had to turn again,
John Franzo.

Boney went to Waterloo
Oh aye, oh,
Boney went to Waterloo
John Franzo.

Boney met a warrior,
Oh aye, oh,
Boney met a warrior,
John Franzo.

Boney had to run away,
Oh aye, oh,
Boney had to run away,
John Franzo.

Boney was a warrior,
Oh aye, oh,
Boney was a warrior,
John Franzo.

Boney was a prisoner,
Oh aye, oh,
Boney was a prisoner,
John Franzo.

Boney broke his heart and died,
Oh aye, oh,
Boney broke his heart and died,
John Franzo."
6,The Coasts of High Barbary,"Look ahead, look a stern,
Look the weather in the lee,
Blow high! Blow low! And so sailed we.
I see a wreck to the windward
And a lofty ship to lee,
A sailing down all on
The coasts of High Barbary

O are you a pirate
Or a man-o-war? cried we.
Blow high! Blow low! And so sailed we.
O no! I'm not a pirate
But a man-o-war, cried he.
A sailing down all on
The coasts of High Barbary

We'll back up our topsails
And heave our vessel to;
Blow high! Blow low! And so sailed we.
For we have got some letters
To be carried home by you.
A sailing down all on
The coasts of High Barbary

For broadside, for broadside
They fought all on the main;
Blow high! Blow low! And so sailed we.
Until at last the frigate
Shot the pirate's mast away.
A sailing down all on
The coasts of High Barbary

For quarters! For quarters!
The saucy pirates cried,
Blow high! Blow low! And so sailed we.
The quarters that we showed them
Was to sink them in the tide.
A sailing down all on
The coasts of High Barbary

With cutlass and gun,
O we fought for hours three;
Blow high! Blow low! And so sailed we.
The ship it was their coffin
And their grave it was the sea.
A sailing down all on
The coasts of High Barbary"
7,The Dead Horse,"A poor old man came riding by
Chorus 1
And we say so, and we hope so
A poor old man came riding by
Chorus 2
Oh, poor old horse.

Says I, ""Old man, your horse will die.""
Chorus 1
Says I, ""Old man, your horse will die.""
Chorus 2

And if he dies we'll tan his skin
Chorus 1
And if he don't we'll ride him again.
Chorus 2

For one long month I rode him hard
Chorus 1
For one long month we all rode him hard.
Chorus 2

But now your month is up, old Turk
Chorus 1
Get up, you swine, and look for work
Chorus 2

Get up you swine and look for graft
Chorus 1
While we lays on and drags ye aft
Chorus 2

He's as dead as a nail in the lamp-room door
Chorus 1
And he won't come worring us no more
Chorus 2

We'll use the hair of his tail to sew our sails
Chorus 1
And the iron of his shoe to make deck nails
Chorus 2

We'll hoist him up to the fore yard-arm
Chorus 1
Where he won't do sailors any harm
Chorus 2

We'll drop him down with a long, long roll
Chorus 1
Where the sharks will have his body and the
Devil take his soul."
8,The Dreadnought,"There's a saucy wild packet, and a packet of fame;
She belongs to New York, and the Dreadnought's her name;
She is bound to the westward where the stormy winds blow;
Bound away in the Dreadnought, to the west'ard we'll go.

There time of her sailing is now drawing nigh;
Farewell, pretty May, I must bid you good-bye;
Farewell to old England and all there we hold dear,
Bound away in the Dreadnought, to the west'ard we'll steer.

Oh, the Dreadnought is pulling out of Waterlock dock,
Where the boys and girls to the pierheads do flock;
They will give us three cheers while their tears do flow,
Saying, ""God bless the Dreadnought, where'er she may go!""

Oh, the Dreadnought is waiting in the Mersey so free,
Waiting for the Independence to tow her to sea,
For around that rock light where the Mersey does flow,
Bound away in the Dreamings, to the westward we'll go.

Oh, the Dreadnought's a-bowlin' down the wild Irish Sea,
Where the passengers are merry, their hearts full of glee,
While her sailors like lions walk the decks to and fro,
She's the Liverpool packet, oh, Lord, let her go!

Oh, the Dreadnought's a-sailing the Atlantic so wide,
While the dark, heavy seas roll along her black sides,
With her sails neatly spread, and the Red Cross to show,
She's the Liverpool packet, oh Lord, let her go!

Oh, the Dreadnought's becalmed on the banks of Newfoundland,
Where the water's so green and the bottom is sand;
Where the fish of the ocean swim round to and fro,
She's the Liverpool packet, oh Lord, let her go!

Oh, the Dreadnought, she's a-bowlin' past old Nantucket Head,
And the man in chains takes a cast with the lead,
The up jumps the flounder just fresh from the ground,
Crying, ""Blast your eyes, Chucklehead;
      and mind where you sound!""

Oh, the Dreadnought's arrived in America once more,
We'll go ashore, shipmates, on the land we adore,
See our wives and our sweethearts, be merry and free,
Drink a health to the Dreadnought, whereso'er she may be.

Here's a health to the Dreadnought, and to all her brave crew.
Here's a health to her captain and officers too.
Talk about your flash packets, Swallow Tail and Black Ball,
But the Dreadnought's the clipper to beat one and all."
9,Drunken Sailor,"Chorus
Way, hay up she rises,
Way, hay, up she rises,
Way, hay, up she rises,
Earlye in the morning!

What will we do with the drunken sailor?
What will we do with the drunken sailor?
What will we do with the drunken sailor?
Earlye in the morning?

Put him in the scuppers with the hose pipe on him

Hoist him aboard with a running bowline

Put him in the brig until he's sober.

Make him turn to at shining bright work.

Other verses from The Book of Navy Songs
(If the verse is the same I did not repeat it)

Put him in a boat and row him over

Hoist him up to the topsail yardarm

Make him clean out all the spit-kids

That's what you do with a drunken sailor

(The last line of this verse is followed
by ""Amen"")"
