,title,lyrics
0,The Sailboat Malarkey,"Please tell me what is this sailboat's name.
It's the sailboat Malarkey.
Tell me now what is this good boat's name.
It's the sailboat Malarkey.
Well now me boys we are bound out to sea.
In the sailboat Malarkey.
A windward Caroline come down to me.
It's the sailboat Malarkey.
She's lovely aloft and she's lovely below.
Is the sailboat Malarkey
But she's best on the back as you very well know.
In the sailboat Malarkey.
Away, away in Saint George's town.
In the sailboat Malarkey.
The rats come batting the houses down.
Ooh that sailboat Malarkey.
I give them all boys and all that i know**.
In the sailboat Malarkey.
To turn into row with me loosely-o.**
In the sailboat Malarkey.
Yer pick 'er up boys and lay 'er down.
In the sailboat Malarkey.
And hang out tight as she bounces around.
In the sailboat Malarkey."
1,Bully in the Alley,"Help me, Bob, I'm bully in the alley,
Way, hey, bully in the alley!
Help me, Bob, I'm bully in the alley,
Bully down in shinbone al!
Sally is the girl that I love dearly,
Way, hey, bully in the alley.
Sally is the girl that I spliced dearly.
Bully down in shinbone al
Help me, Bob, I'm bully in the alley,
Way, hey, bully in the alley!
Help me, Bob, I'm bully in the alley,
Bully down in shinbone al!
For seven long years I courted little Sally,
Way, hey, bully in the alley.
But all she did was dilly and dally.
Bully down in shinbone al
Help me, Bob, I'm bully in the alley,
Way, hey, bully in the alley!
Help me, Bob, I'm bully in the alley,
Bully down in shinbone al!
I ever get back, I'll marry little Sally,
Way, hey, bully in the alley.
Have six kids and live in Shin-bone Alley.
Bully down in shinbone al"
2,So Early in the Morning,"The mate was drunk and he went below to take a swig at his bottle o
So early in the morning the sailor likes his bottle o
The bottle o, the bottle o, the sailor loves his bottle o
A bottle of rum, a bottle o gin, a bottle of irish whiskey o
The baccy o, tabaccy o, the sailor loves his baccy o
A packet o shag, a packet o cut a plug of hard terbaccy o
The lassies o, the maidens o, the sailor loves the judies o
A lass from the 'pool, a girl from the Tyne, a chowlah so fine and dandy o
A bully rough house, a bully rough house, the sailor likes his rough house o
Tread on me coat and all hands in, a bully good rough- and tumble o
A sing song o, a sing song o, the sailor likes a sing song o
A drinking song, a song o love, a ditty of seas and shipmates o"
3,Padstow Farewell,"It's time to go now,
Haul away your anchor,
Haul away your anchor,
It's our sailing time.
Get some sail upon her,
Haul away your halyards,
Haul away your halyards.
It's our sailing time.
Get her on her course now,
Haul away your foresheets,
Haul away your foresheets,
It's our sailing time.
Waves are surging under,
Haul away down Channel,
Haul away down Channel,
On the evening tide.
When your sailing's over,
Haul away for Heaven,
Haul away for Heaven,
God be by your side.
It's time to go now,
Haul away your anchor,
Haul away your anchor,
It's our sailing time."
4,Captain Kidd,"O, my name was Captain Kidd,
as I sailed, as I sailed,
O, my name was Captain Kidd,
as I sailed.
My name was Captain Kidd
And God's laws I did forbid,
And so wickedly I did
as I sailed, as I sailed.
So wickedly I did
as I sailed.
I murdered William Moore,
as I sailed, as I sailed.
O, I murdered William Moore
as I sailed.
I laid him in his gore,
Not many leagues from the shore,
O, I murdered William Moore,
as I sailed, as I sailed.
I murdered William Moore
as I sailed.
I spied three ships from Spain
as I sailed, as I sailed,
O, I spied three ships from Spain
as I sailed.
I spied three ships from Spain,
and I fired on them a-main,
And most of them I slain,
as I sailed, as I sailed.
And most of them I slain
as I sailed.
Come all you young and old,
see me die, see me die.
Come all you young and old,
see me die.
You are welcome to my goal,
And by it I lost my soul
Come all you young and old,
I must die, I must die.
Come all you young and old,
I must die."
5,Roll Boys Roll,"Sally Brown, she's the gal for me boys!
(Chorus) Roll Boys! Roll boys roll!
Sally Brown she's the gal for me, boys!
(Chorus) Way high, Miss Sally Brown
It's down to Trinidad to see Sally Brown boys!
(Chorus) Roll Boys! Roll boys roll!
Down to Trinidad to see Sally Brown boys!
(Chorus) Way high, Miss Sally Brown
She's lovely on the foreyard, an' she's lovely down below boys!
(Chorus) Roll Boys! Roll boys roll!
She's lovely 'cause she loves me, that's all I want to know boys!
(Chorus) Way high, Miss Sally Brown
Ol' Captain Baker, how do you store yer cargo
(Chorus) Roll Boys! Roll boys roll!
Some I stow for'ard, boys, an' some I stow a'ter
(Chorus) Way high, Miss Sally Brown
Fourty fathoms or more below boys!
(Chorus) Roll Boys! Roll boys roll!
There's fourty fathoms or more below boys.
(Chorus) Way high, Miss Sally Brown
Oh, way high ya, an' up she rises
(Chorus) Roll Boys! Roll boys roll!
Way high ya, and the blocks is different sizes
(Chorus) Way high, Miss Sally Brown
Oh, one more pull, don't ya hear the mate a-bawlin?
(Chorus) Roll Boys! Roll boys roll!
Oh, one more pull, that's the end of all the hawlin'
(Chorus) Way high, Miss Sally Brown
Sally Brown she's the gal for me boys!
(Chorus) Roll Boys! Roll boys roll!
Sally Brown she's the gal for me, boys!
(Chorus) Way high, Miss Sally Brown"
6,Billy Riley,"Old Billy Riley was a dancing master.
Old Billy Riley, oh. Old Billy Riley!
Old Billy Riley's master of a drogher.
Old Billy Riley, oh. Old Billy Riey!
Master of a drogher bound for Antigua.
Old Billy Riley, oh. Old BQIy Riley!
Old Billy Riley has a nice young daughter.
Old Billy Riley, oh. Old Billy Riley!
Oh Missy Riley, little Missy Riley.
Old Billy Riley, oh. Old Billy Riley!
Had a pretty daughter, but we cant get at her.
Old Billy Riley, oh, Old Billy Riley!
Screw her up and away we go, boys.
Old Billy Riley, oh, Old Billy Riley!
One more pull and then belay, boys
Old Billy Riley, oh, Old Billy Riley!"
7,Paddy Doyle's Boots,"To me, Way-ay-ay yah!
We'll pay Paddy Doyle for his boots!
To me Way-ay-ay yah!
Well all drink brandy nd gin!
To me Way-ay-ay yah!
We'll all shave under the chin!
To me Way-ay-ay yah!
We'll all throw muck at the cook!
To me Way-ay-ay yah!
The dirty ol' man's on the poop!
To me Way-ay-ay yah!
We'll bouse her up and be done!
To me Way-ay-ay yah!
We'll pay Paddy Doyle for his boots!"
8,Lowlands Away,"I dreamed a dream the other night,
Lowlands, Lowlands, away, my John.
My love she came dressed all in white,
My Lowlands away.
I dreamed my love came in my sleep,
Lowlands, Lowlands, away, my John.
Her cheeks were wet, her eyes did weep. My Lowlands away.
She came to me at my bed-side,
Lowlands, Lowlands, away, my John.
All dressed in white like some fair bride.
My Lowlands away.
And bravely in her bosom fair,
Lowlands, Lowlands, away, my John.
A red, red love did my love wear.
My Lowlands away.
She made no sound-no word she said,
Lowlands, Lowlands, away, my John.
And then I knew my love was dead.
My Lowlands away.
I bound the weeper round my head,
Lowlands, Lowlands, away, my John.
For now I knew my love was dead.
My Lowlands away.
She waved her hand-she said goodbye,
Lowlands, Lowlands, away, my John.
I wiped the tear from out my eye.
My Lowlands away.
And then awoke to hear the cry,
Lowlands, Lowlands, away, my John.
'Oh, watch on
deck, oh, watch ahoy!'
My Lowlands away."
9,Roll and Go,"There was a ship - she sailed to Spain, 
Oh, roll and go! 
There was a ship came home again, 
Tommy's on the topsail yard! 
What d'ye think was in her hold? 
Oh, roll and go! 
There was diamonds, there was gold. 
Tommy's on the topsail yard! 
And what was in her lazareet? 
Oh, roll and go! 
Good split peas and bad bull meat. 
Tommy's on the topsail yard! 
Many a sailorman gets drowned, 
Oh, roll and go! 
Many a sailorman gets drowned. 
Tommy's on the topsail yard!"
