,title,lyrics
0,A Cruising We Will Go,"Behold upon the swelling seas With streaming  pennants gayOur gallant ship invites the waves, While glory leads the wayAnd a-cruising we will go, oho, oho, ohoAnd a-cruising we will go, oho, oho, ohoAnd a-cruising we will go ooooooho And a-cruising we will go! 
        You beauteous maids your smiles Bestow for if  you prove unkindHow can we hope to beat the foe   We leave our hearts behind.......   CHORUS
         See Hardy's flag once more displayed, Upon the  deck he stands  Britannia's glory ne'er can fade, Or tarnish  in his hands ........ CHORUS  Britain to herself but true, To France  defiance hurledGive peace, America, with you, And war with all the world....... CHORUS "
1,A Hundred Years Ago,"A hundred years is a very long time, Oh  yes, oh, A hundred years is a very long time A  hundred years ago. 
        They used to think that pigs could fly Oh yes, oh, I don't believe it no, not I A hundred  years ago
        They thought the moon was made of cheese Oh yes, oh, You can believe it, if you please A hundred  years ago
        They thought the stars was set alight Oh yes, oh, By some good angel every night A hundred  years ago
                                                                                                              
                
        They hung a man for making steam Oh yes, oh, They cast his body in the stream A hundred  years ago
        A hundred years is a very long time Oh yes, oh, A hundred years is a very long time A  hundred years ago
        I thought I heard our old man say Oh yes, oh, That we were homeward bound today 

        It's time  for us to go.....Belaycourtesy of www.SailorSongs.com"
2, A Life On The Ocean Wave ,"A life on the ocean wave

          A-home on the rolling deep  

          Where the scattered waters rave  

          And the winds their revels keep  

          Like an eagle caged I pine  

          On this dull, unchanging shore  

        Oh give me the flashing brine  The spray and the tempest's roar CHORUS after each verse         A life on the ocean wave, a-home on the rolling deep Where the scattered waters rave and the winds their revels keep       The winds - the winds - the winds their revels  - keep       The winds - the winds - the winds their revels  - keep
        

Once more on the deck I stand  Of my own swift, gliding craft  Set sail, farewell to land  The gale follows fair abaft.  We shoot through the sparkling foam,  Like an ocean bird set free  Like the ocean bird, our home We'll find far out on the sea
        


        The land is no longer in view,  The clouds have begun to frown.  But with a stout vessel and crew  We'll say  Let the storm come down  And the song of our heart shall be  While the winds and waters lave  A life on the heaving sea A-home on the bounding wave"
3,A Long Time Ago,"A long, long time and a long time ago 
To me way, hey, O- hio
A long, long time and a long time ago  

        A  long time ago
 A smart Yankee packet lay out in the bay 

        To  me way, hey, O- hioA waitin for a fair wind to get under  way  

    A long time ago

 With all her poor sailors all sick and all  sad
        

To me way, hey, O- hioOh they'd drunk all their whiskey no more could  be had


        A long time ago

 She was waiting for a fair wind to get  underway   
  
        To me way, hey, O- hioIf she hasn't a fair wind she's laying there  still  

A long time ago "
4,A Rollin' Down the River  ,"Also  known as ""The Saucy Arabella""   
        Capstan & pumps  shanty - Bulgine was  another word for train engine.           
          C G C
        Oh the Arabella sets her main topsail,  
          

        Oh the Arabella sets her main topsailC F G7 C
        Oh the Arabella sets her main topsail,   
          

        A rollin’ down the riverC F C G7
        A rollin’ down, a rollin’ down, a rollin’ down the riverC F G7 C
        A rollin’ down, a rollin’ down said the 

        Bucko’s mate to the greaser’s  wife C G C
        Oh a pumpkin pudding and a bulgine pie, 

        A pumpkin pudding and a bulgine pieF G7 C
        A pumpkin pudding and a bulgine pie, Aboard the Arabella..............................................................................
        Note:Replace TOPSAIL with these to add verses  
        2 Gans’l       3  Royal       4 Skys’l        5 Stays’l  "
5,A Rovin,"Hear the song sample on the Sea Shanty Page.
It was  recorded by Roger Chartier on the ""Sailor Songs"" CD - 
The melody possibly back to 1640 used on  flywheel pump handles and windlassIn Amsterda-am there li-ived a-a maid *  mark well what I do say*In Amsterdam there li-ived a-a maid an she  was mistre-ess of her trade*The CHORUS:
 I’ll go no more a rovin with you fair maid
     
        A rovin’ A rovin’ since rovin’s been my-y  ru-i-in 
       I’ll go no more a rovin’ with you fair maid


        One night I cre-ept from my-y a-abode mark well what I do say
        One night I crept from my-y a-abode
        To  meet this fair ma-aid down the road. 

        CHORUS
        I met this fa-air maid a-af te-er dark  mark well what I do say
        I met this fair maid a-af te-er dark and  took her to he-er favourite park

        CHORUS
        I took this fa-air maid fo-or a walk   mark well what I do say
        I took this fair maid fo-or a –a walk  and we had such a-a lovin’ talk

        CHORUS      
        I put me a-arm aro-ound he-er waist* mark  well what I do say
        I put me arm aro - und he-er waist says  she young man ye-er in great haste

        CHORUS
        I towed her to-o the-e Mai-ai de-ens  Breast mark well what I do say
        I towed her to the Mai-aide-ens Breast  from South the wind ve-ered sou-sou-wes

        CHORUS
        We had a dri-ink of grub we had a snatch  mark well what I do say
        We had a drink of grub we had a snatch 
        
        We  sent two bottle-les down the hatch

CHORUS
        Her dainty a-arms was whi-ite a-as milk  Mark well what I do say
        Her dainty arms was whi-ite a-s milk Her  lovely hair was so-oft as silk
      
        CHORUS
        She swore that she-e’d be tru-ue to-o me   mark well what I do say
        She swore that she’d be tru-ue to-o me  but 
        She spent my pay da-ay fast and free

        CHORUS
        In three weeks ti-me I was ba-adly-y bent  mark well what I do say
        I three weeks time I was ba-adly-y bent  Then off to sea I-I sadly went  

        CHORUS  "
6,A Sailor Loves ,"The maiden, oh, the maiden oh.        

        The sailor loves the maiden, oh!

        So early in the morning,
The sailor loves the maiden, oh! 
        

        A maid that is young, a maid that is fair,

        A maid that is kind and pleasant, oh, 

        So early in the morning,
The sailor loves the maiden, oh!        

        Tobacco, oh, tobacco, oh,

        The sailor loves tobacco, oh,        

        So early in the morning,
The sailor loves tobacco, oh.        

        A packet of bird's-eye, packet of cut

        A plug of hard tobacco, oh,        

        So early in the morning,
The sailor loves tobacco, oh.
        
        

        The bottle, oh, the bottle oh,

        The sailor loves the bottle, oh, 

        So early in the morning
The sailor loves the bottle oh.

A bottle of brandy, bottle of gin,

        A bottle of Irish whisky, oh!        

        So early in the morning
The sailor loves his bottle, oh! 
        

        The maiden oh, the bottle, oh,

        A pipe of good tobacco, oh,
        

        So early in the morning
The sailor loves all these, heigh ho. 
        

        A bottle of spirit, a maiden fair,

        A plug of good tobacco, oh,

So early in the morning

        These are the sailor's loves, heigh ho"
7, A Wet Sheet And A Flowing Sea ,"A wet sheet and a flowing sea   - 
        A wind that follows fast  

        And fills the white and rustling sail - 
        And bends the gallant mast  

        And bends the gallant mast my boys - 
        While like an eagle free  

        Away the good ship flies  - 
        And leaves Columbia on our lee  

        CHORUS after each verse               

        Oh! Give me a wet sheet a flowing sea             

        And a wind that follows fast             

        And fills the white and rustling sail             - 
        And bends the gallant mast    

        Oh for a soft and gentle wind  I heard a fair one cry  

        But give to me the roaring breeze  - 
        And the white waves heaving high  

        And white waves heaving high my boys  The good ship tight and free 

        The world of waters is our home  - 
        And merry men are we    

        There's a tempest in yon horned moon  - 
        And lightning in yon cloud  

        And hard the music mariners  - 
        The wind is piping loud  

        The wind is piping loud my boys  - 
        The lightning flashes free  

        While the hollow oak our palace is  - 
        Our heritage the sea "
8,Abdul Abulbul Amir  ,"Percy French 1877courtesy of www.SailorSongs.comThe sons of the Prophet are brave men and bold

        And quite unaccustomed to fear,

        But the bravest by far in the ranks of the shah,

        Was Abdul Abulbul Amir.

If you wanted a man to encourage the van,

        Or harass the foe from the rear,
Storm fort or redoubt, you had only to shout
for Abdul Abulbul Amir.

Now the heroes were plenty and well known to fame

        Iin the troops that were led by the Czar,
And the bravest of these was a man by the name
of Ivan Skavinsky Skavar.

        One day this bold Russian, he shouldered his gun
And donned his most truculent sneer,
Downtown he did go where he trod on the toe
Of Abdul Abulbul Amir.

""Young man,"" quote Abdul,"" has life grown so dull
That you wish to end your career?
Vile infidel know, you have trod on the toe
Of Abdul Abulbul Amir.

So take your last look at the sunshine and brook
And send your regrets to the Czar
For by this I imply, you are going to die,
Count Ivan Skavinsky Skavar.""

Then this bold Mameluke drew his trusty skibouk,
Singing, ""Allah! Il Allah! Al-lah!""
And with murderous intent he ferociously went
for Ivan Skavinsky Skavar.

They parried and thrust, they side-stepped and cussed,
Of blood they spilled a great part;
The philologist blokes, who seldom crack jokes,
Say that hash was first made on the spot.

They fought all that night neath the pale yellow moon;
The din, it was heard from afar,
And huge multitudes came, so great was the fame,
of Abdul and Ivan Skavar.

As Abdul's long knife was extracting the life,
In fact he was shouting, ""Huzzah!""
He felt himself struck by that wily Calmuck,
Count Ivan Skavinsky Skavar.

The Sultan drove by in his red-breasted fly,
Expecting the victor to cheer,
But he only drew nigh to hear the last sigh,
Of Abdul Abulbul Amir.

There's a tomb rises up where the Blue Danube rolls,
And graved there in characters clear,
Is, ""Stranger, when passing, oh pray for the soul
Of Abdul Abulbul Amir.""

A splash in the Black Sea one dark moonless night
Caused ripples to spread wide and far,
It was made by a sack fitting close to the back,
of Ivan Skavinsky Skavar.

A Muscovite maiden her lone vigil keeps,
'Neath the light of the cold northern star,
And the name that she murmurs in vain as she weeps,
Is Ivan Skavinsky Skavar.            "
9, Across The Western Ocean ," Pre 1849  English –  Irish packet trade - the Western Ocean is the Atlantic - another version came about  in 1849 due to the California gold rush   courtesy of www.SailorSongs.comOh the times are hard and the wages low     
          
        A-me-lia where  you bound toThe Rock- y mountains is my home     
        
        A - cross the western o  - ceanThe land of promise there you’ll see     
        
        A – me - lia  where you bound toI’m bound across the Western sea     
        
        A - cross the Western  O - cean
 I’ll take my way from Liverpool   
        A-me – lia where you  bound toIn Liverpool, that Yankee school  
        A – cross the Western  O – ceanThere’s Liverpool Pat in a tarpaulin hat 
        
        A – me –  lia where you bound toAnd Yankee Jack, the packet rat  
        A – cross the Western  O – cean Be - ware these packet ships I say,   
        A – me – lia  where you bound toThey steal your stores and clothes away  
        A – cross the  Western O - cean   "
