,title,lyrics
0,three score and ten,refrain and it s three score and ten boys and men were lost from grimsby town from yarmouth down to scarborough many hundreds more were drowned their herring craft and trawlers their fishing smacks as well alone they fight the bitter night and battle with the swell me thinks i see a host of craft spreading their sails at lee as down the humber they do steer down for the great north sea me thinks i see a wee small craft and crew with hearts so brave they go to earn their daily bread upon the restless waves refrain me thinks i see them yet again as they leave this land behind casting their nets into the sea the herring shoals to find me thinks i see them yet again and they save on board a right with their sails close reefed their decks moist cleaned and their side lights burning bright refrain october s night brought such a sight twas never seen before there were masts and yards and broken spars washed up upon the shore there was many a heart of sorrow there was many a heart so brave there was many a true and noble lad to find a watery grave refrain
1,bully in the alley,help me bob i m bully in the alleywey hey bully in the alleyhelp me bob i m bully in the alleybully down in shinbone al well sally is the girl way down our alleyway hey bully in the alleysally is the girl that i spliced nearlybully down in shinbone alleyi led myself to go a sailingway hey bully in the alleyi led myself to go a whalingbully down in shinbone al i found myself down on the quay ohway hey bully in the alleyi found myself with time so free ohbully down in shinbone ali waltzed up to the anchor inn ohway hey bully in the alleyi kicked down the door and i waltzed right in ohbully down in shinbone al i stepped up to the bar room counterway hey bully in the alleyit was there i met with greasy anniebully down in shinbone algreasy annie s a slimy whore oevery shell back s knocked on her door o i bought her rum i bought her gin oi bought her wine both white and red oafter i spent up all me tin oit was up to the bedroom we did creep owe tossed and tumbled all night long oin the morning the cock did crow oi led myself to go a sailingi led myself to go a whaling
2,farewell to tarwathie,farewell to tarwathie adieu mormond hill and the dear land o crimond i ll bid you fareweel i m bound out for greenland and ready to sail in hopes to find riches in hunting the whale adieu to my comrades for awhile we must part and likewise the dear lass that fair won my heart the cold ice of greenland my love will not chill and the longer my absence more loving she ll feel our ship is well rigged and she s ready to sail our crew they are anxious to follow the whale where the icebergs do float and the stormy winds blow where the land and the ocean are covered with show the cold coast of greenland is barren and bare no seed time nor harvest is ever known there and the birds here sing sweetly on mountain and dale but there isn t a birdie to sing tae the whale there is no habitation for a man to live there and the king of that country is the fierce greenland bear and there will be no temptation to tarry long there wi our ship bumper full we will homeward repair
3,captain tall,captain tall best man i met lively lads look livelygive you a trip you ll never forget lively lads look lively he s the man for the southern coast pray to god and the holy ghostlively lads look lively that s the cry from captain tall lively lads look lively that s the cry to drive us alllost more ships than i can tell made amends as you know wellran ashore to save the crew found an unknown rock or two chorus rescued one a forlorn hope patched her up with tar and roperiver steamers devils work landed him in dunedin court chorus back at sea he s timber trading every voyage fully ladendouble lash the cargo we re off to north otago chorus black nor easter we all hate but captain tall s not one to waitrain and snow and driving hail you might live to tell the tale chorus
4,the dreadnought,there s a saucy wild packet and a packet of fame she belongs to new york and the dreadnought s her name she is bound to the westward where the stormy winds blow bound away in the dreadnought to the west ard we ll go there time of her sailing is now drawing nigh farewell pretty may i must bid you good bye farewell to old england and all there we hold dear bound away in the dreadnought to the west ard we ll steer oh the dreadnought is pulling out of waterlock dock where the boys and girls to the pierheads do flock they will give us three cheers while their tears do flow saying god bless the dreadnought where er she may go oh the dreadnought is waiting in the mersey so free waiting for the independence to tow her to sea for around that rock light where the mersey does flow bound away in the dreamings to the westward we ll go oh the dreadnought s a bowlin down the wild irish sea where the passengers are merry their hearts full of glee while her sailors like lions walk the decks to and fro she s the liverpool packet oh lord let her go oh the dreadnought s a sailing the atlantic so wide while the dark heavy seas roll along her black sides with her sails neatly spread and the red cross to show she s the liverpool packet oh lord let her go oh the dreadnought s becalmed on the banks of newfoundland where the water s so green and the bottom is sand where the fish of the ocean swim round to and fro she s the liverpool packet oh lord let her go oh the dreadnought she s a bowlin past old nantucket head and the man in chains takes a cast with the lead the up jumps the flounder just fresh from the ground crying blast your eyes chucklehead and mind where you sound oh the dreadnought s arrived in america once more we ll go ashore shipmates on the land we adore see our wives and our sweethearts be merry and free drink a health to the dreadnought whereso er she may be here s a health to the dreadnought and to all her brave crew here s a health to her captain and officers too talk about your flash packets swallow tail and black ball but the dreadnought s the clipper to beat one and all
5,serafina sea porn be warned dirty lyrics,in callao there lives a gal whose name is serafina serafina serafina she sleeps all day and fucks all night in the callao marina serafina oh serafina she s the queen of all the whores that live in the ol casino she used to screw for a monkey nut but now she ll fuck for a vino at robbin silly sailors boys no gal was ever keener she ll make you pay right through the nose that lovely serafina she ll guzzle pisco beer and gin on rum her mum did wean er she smokes just like a chimney stack on a p s n c steamer serafina s got no drawers i been ashore an seen er she s got no time to put them on that hard fucked serafina she ll claw and kick and bite and scratch when in the old arenashe ll rob you blind if she gets the chance that dirty she hyenawhen i was young an in me prime i first met serafina in callao we saw the sights an then went up to lima but the finest sight i ever saw was little serafina but the very next day as we sailed away i wisht i d never been there i used to love a little girl whose name was serafina but she s gone off with a dago man who plays a concertina
6,my johnnie is a shoemaker,my johnny is a shoemaker and he has gone to sea to reeve the topsail he has gone far cross the raging sea his jacket is a deep sea blue and golden is his hair this i know and i do declare my johnny is a shoemaker a captain he ll be bye and bye with a brave and a gallant crew this i know and i do declare my johnny is a shoemaker my johnny is a shoemaker and he has gone to sea to reeve the topsail he has gone far cross the raging sea
7,whisky johnnie,whisky is the life of man whisky johnnie oh whisky is the life of many whisky for my johnnie i ll drink whisky when i can whisky johnnie i ll drink it out of an old tin can whisky for my johnnie whisky gave me a broken nose whisky johnnie whisky made me pawn my clothes whisky for my johnnie whisky drove me around cape horn whisky johnnie it was many a month when i was gone whisky for my johnnie i thought i heard the old man say whisky johnnie i ll treat my crew in a decent way whisky for my johnnie a glass of grog for every man whisky johnnie and a bottleful for the chanteyman whisky for my johnnie
8,chicken on a raft,skipper in the wardroom drinkin gin hi yo chicken on a raft i don t mind knockin but i ain t goin in hi yo chicken on a raft the jimmy s laughin like a drain hi yo chicken on a raft he s lookin at me comic cuts again hi yo chicken on a raft chicken on a raft on a monday morning oh what a terrible sight to see dabtoes forward and the dustmen aft sittin there pickin on a chicken on a raft hi yo chicken on a rafthi yo chicken on a rafthi yo chicken on a rafthi yo chicken on a raftgave me the middle and the forenoon too now i m pullin on a whalin crew seagulls wheelin overhead i oughter be home in me featherbed i had a little girl in donny b and did she make a fool of me her heart was like a passing shower run hot to cold in a quarter of an hour we kissed goodbye on a midnight bus she didn t cry and she didn t fuss am i that one she loves the best or am i just a cuckoo in another man s nest an amazon girl lived in dumfries only had her kids in two s and three s she s got a sister in maryhill says she won t but i think she will
9,won t you go my way,i met her in the morning won t you go my way i met her in the morning won t you go my way in the morning bright and early won t you go my way in the morning bright and early won t you go my way o julia anna maria won t you go my way o julia anna maria won t you go my way i asked that girl to marry won t you go my way i asked that girl to marry won t you go my way she said she d rather tarry won t you go my way she said she d rather tarry won t you go my way oh marry never tarry won t you go my way oh marry never tarry won t you go my way
10,cape cod girls,cape cod girls they have no combs haul away haul away combs their hair with cod fish bones and we re bound for south australia heave her up me bully bully boys haul away haul away heave her up and don t ye make no noise and we re bound for south australia cape cod cats don t have no tails haul away haul away lost them all in southeast gales and we re bound for south australia cap cod kids don t have no sleds haul away haul away they slide down hills on cod fish heads and we re bound for south australia cape cod ladies don t have no frills haul away haul away skinny and light as codfish gills and we re bound for south australia cape cod folks don t have no ills haul away haul away cape cod doctors feed em codfish pills and we re bound for south australia cape cod girls they have no combs heave away heave away they comb their hair with codfish bones we are bound for australia chorus heave awy me bully bully boys heave away heave away heave away and don t ye make a noise we are bound for australia cape cod cats they have no tails heave away heave away they lost them all in southeast gales we are bound for australia chorus cape cod boys they have no sleds heave away heave away they slide down hills on codfish heads we are bound for australia chorus cape cod ladies have no frills heave away heave away thin and light as codfish gills we are bound for australia chorus cape cod folks they have no ills heave away heave away the cape cod doctors give codfish pills we are bound for australia chorus
11,albertina,a schooner was built on the baltic albertina that was the schooner s name pump her dry albertina says the story albertina s all for glory albertina that was the schooner s name pump her dry chorus albertina says the story albertina s all for glory albertina that was the schooner s name and the schooner is painted already she is painted in red and violet pump her dry she is painted says the story she is painted all for glory she is painted in red and violet pump her dry chorus and the schooner is rigged out already she is rigged out with tackles and with ropes pump her dry she is rigged out says the story she is rigged out all for glory she is rigged out with tackles and with ropes pump her dry chorus and the schooner is charted already she is charted from hamburg homeward bound pump her dry she is chartered says the story she is chartered all for glory she is chartered from hamburg homeward bound pump her dry chorus and the schooner is loaded already she is loaded with beer and with wine pump her dry she is loaded says the story she is loaded all for glory she is loaded with beer and with wine pump her dry chorus and the schooner is sailing already she is sailing away from sight of land pump her dry she is sailing says the story she is sailing all for glory she is sailing away from sight of land pump her dry chorus and the schooner is stranded already she is stranded between the surf and reef pump her dry she is stranded says the story she is stranded all for glory she is stranded between the surf and reef pump her dry chorus and her headstone is written already it is written in latin and in gold pump her dry it is written says the story it is written all for glory it is written in latin and in gold pump her dry chorus on the beach there is a maiden weeping she is weeping for her lover on the beach pump her dry she is weeping says the story she is weeping all for glory she is weeping for her lover on the beach pump her dry chorus
12,one of the roamin kind,as i went out one evening upon a night s career i spied a lofty clipper ship and to her i did steer i hoisted out my signals which she so quickly knew for when she saw my bunting fly she quickly hove to chorus she had a dark and a rovin eye and her hair fell down in ringlets she was a nice girl a popular girl but one of the roamin kind i took her for some fish and chips and treated her so fine and hardly did i realise she was the roamin kind i kissed her lips i missed her lips and found to my surprise she was nothing but a pirate ship rigged out dressed up in a disguise chorus now come all ye good sailor men who sail the wintery sea and come all ye apprentice lads fair warning take from me beware of lofty clipper ships they ll be the ruin of you for twas then she made me walk the plank and pushed me under too chorus adsbygoogle window adsbygoogle push adsbygoogle window adsbygoogle push mc embed signup background fff clear left font px helvetica arial sans serif width add your own mailchimp form style overrides in your site stylesheet or in this style block we recommend moving this block and the preceding css link to the head of your html file subscribe to the traditional music library mailing list window taboola window taboola taboola push article auto function e f u i if document getelementbyid i e async e src u e id i f parentnode insertbefore e f document createelement script document getelementsbytagname script cdn taboola com libtrc traditionalmusic loader js tb loader script if window performance typeof window performance mark function window performance mark tbl ic window taboola window taboola taboola push mode thumbnails a container taboola below article thumbnails placement below article thumbnails target type mix window taboola window taboola taboola push flush true
