,title,lyrics
0,"
                  Muddy Water |                     ",
1,"
                  Frankie’s Trade |                     ","Old Horn to All Atlantic said:
    (A-hay O! To me O!)
“Now where did Frankie learn his trade?
For he ran me down with a three-reef mains’le.”
    (All round the Horn!)Atlantic answered: “Not from me!
    (A-hay O! To me O!)
You’d better ask the cold North Sea,
For he ran me down under all plain canvas.”
    (All round the Horn!)The North Sea answered: “He’s my man,
    (A-hay O! To me O!)
For he came to me when he began–
It’s Frankie Drake in an open coaster.
    (All round the Sands!)“I caught him young and I used him sore,
    (A-hay O! To me O!)
So you never shall startle Frankie more,
Without capsizing Earth and her waters.
    (All round the Sands!)“I did not favour him at all,
    (A-hay O! To me O!)
I made him pull and I made him haul–
And stand his trick with the common sailors.
    (All round the Sands!)“I froze him stiff and I fogged him blind,
    (A-hay O! To me O!)
And kicked him home with his road to find
By what he could see of a three-day snow-storm.
    (All round the Sands!)“I learned him his trade o’ winter nights,
    (A-hay O! To me O!)
‘Twixt Mardyk Fort and Dunkirk lights
On a five-knot tide with the forts a-firing.
    (All round the Sands!)“Before his beard began to shoot,
    (A-hay O! To me O!)
I showed him the length of the Spaniard’s foot–
And I reckon he clapped the boot on it later.
    (All round the Sands!)“If there’s a risk which you can make
    (A-hay O! To me O!)
That’s worse than he was used to take
Nigh every week in the way of his business;
    (All round the Sands!)“If there’s a trick that you can try
    (A-hay O! To me O!)
Which he hasn’t met in time gone by,
Not once or twice, but ten times over;
    (All round the Sands!)“If you can teach him aught that’s new,
    (A-hay O! To me O!)
I’ll give you Bruges and Niewport too,
And the ten tall churches that stand between ’em.”
    (All round the Sands!)
So storm along, my gallant Captains!
    (All round the Horn!)[words Rudyard Kipling, music Peter Bellamy]"
2,"
                  Mursheen Durkin |                     ","In the days I went a courtin’ I was never tired resortin’
To an ale-house or a playhouse and many’s the house besides
But I told me brother Seamus I’d go off and be right famous
And I never would return again ’til I roamed the world wideGoodbye Muirsheen Durkin sure I’m sick and tired of working 
No more I’ll dig the praties and no longer I’ll be fooled 
As sure’s me name is Randall I’ll be off to Coromandel
Where instead of diggin’ praties I’ll be diggin’ lumps of goldI’ve courted girls in Blarney, in Kanturk and in Killarney
In Passage and in Queenstown, that is the Cobh of Cork
Goodbye to all this pleasure I’ll be off to take me leisure
And the next time that you hear from me, will be a letter from New YorkChorusGoodbye to the girls at home I’m going far across the foam
To try and make me fortune in far Amerikay
There’s gold and jewels and plenty for the poor and for the gentry
And when I return again I never more will sayChorus"
3,"
                  The Last Shanty |                     "," Well me father often told me when I was just a lad
A sailor’s life was very hard, the food was always bad
But now I’ve joined the navy, I’m aboard a man-o-war
And now I’ve found a sailor ain’t a sailor any moreDon’t haul on the rope, don’t climb up the mast
If you see a sailing ship it might be your last
Just get your civies ready for another run ashore
A sailor ain’t a sailor, ain’t a sailor anymoreWell the killock of our mess he says we’ve had it soft
It wasn’t like this in his day when he was up aloft
We like our bunks and sleeping bags, but what’s a hammock for?
Swinging from the deckhead, or lying on the floor?ChorusWell they gave us an engine that first went up and down
Then with more technology the engine went around
We know our steam and diesel but what’s a mainyard for?
A stoker ain’t a stoker with a shovel anymore.ChorusWell they gave us Aldiss lamp so we could do it right
They gave us a radio, we signaled day and night
We know our codes and cyphers but what’s a semaphore?
A bunting-tosser doesn’t toss the bunting anymoreChorusTwo cans of beer a day and that’s your bleeding lot
Now we get an extra one because they’ve stopped the tot
So we’ll put on our civie clothes and find a pub ashore
A sailor’s still a sailor just like he was beforeChorus "
4,"
                  Star of the County Down |                     ","
In Banbridge Town in the County Down
One morning last July,
From a boreen green came a sweet colleen
And she smiled as she passed me by.

She looked so sweet from her two bare feet
To the sheen of her nut brown hair.
Such a coaxing elf, sure I shook myself
For to see I was really there.

From Bantry Bay up to Derry Quay and
From Galway to Dublin Town,
No maid I’ve seen like the brown colleen
That I met in the County Down.

As she onward sped, sure I turned my head,
And I looked with a feelin’ rare,
And I say’s, say’s I, to a passer-by,
“Whose the maid with the nut brown hair”?
He smiled at me and he says, say’s he,
“That’s the jewel of Ireland’s crown.
It’s Rosie McCann from the banks of the Bann,
She’s the star of the County Down”.


Chorus

At the Harvest Fair she’ll be surely there
And I’ll dress in my Sunday clothes,
With my shoes shone bright and my hat cocked right
For a smile from my nut brown rose.
No pipe I’ll smoke, no horse I’ll yoke
Till my plough turns rust colored brown.
Till a smiling bride, by my own fireside
Sits the star of the County Down.

Chorus
"
5,"
                  The Fields of Athenry |                     ","
By a lonely prison wall,
I heard a young girl calling
Michael they are taking you away,
For you stole Trevelyn’s corn
So the young might see the morn,
Now a prison ship lies waiting in the bay

Low lie, The Fields Of Athenry
 Where once we watched the small free birds fly
 Our love was on the wing
 We had dreams and songs to sing,
 Its so lonely round the Fields of Athenry


By a lonely prison wall
I heard a young man calling
‘Nothing matters Mary, when you’re free’
Against the famine and the crown,
I rebelled, they ran me down
Now its so lonely round the Fields of Athenry

By a lonely harbour wall
She watched the last star falling
As the prison ship sailed out against the sky
Sure she’ll live in hope and pray
For her love in Botany Bay
Its so lonely round the Fields of Athenry
"
6,"
                  Flower of Scotland |                     "," Oh Flower Of Scotland,
When will we see, your like again
That fought and died for
Yer wee bit hill and glen
And stood against him
Proud Edward’s army
And sent him homeward
Tae think againThe hills are bare now
And autumn leaves lie thick and still
For land that is lost now
Which those so dearly held
And stood against him
Proud Edward’s army
And sent him homeward
Tae think againThose days are past now
And in the past, they must remain
But we can still rise now
And be the nation again
That stood against him
Proud Edward’s Army
And sent him homeward
Tae think againThe hills are bare now
And autumn leaves lie thick and still
For land that is lost now
Which those so dearly held
Oh Flower Of Scotland
When will we see
Yer like againThat fought and died for
Yer wee bit hill and glen
And stood against him
Proud Edward’s Army
And sent him homeward
Tae think again"
7,"
                  Clear the Track and Let the Bullgine Run (Eliza Lee) |                     ","Oh, the smartest clipper you can find.
Ah ho Way-oh, are you most done.
Is the Marget Evans of the Blue Cross Line.
So clear the track, let the Bullgine run.Chorus:
Tibby Hey rig a jig in a jaunting car.
Ah ho Way-oh, are you most done.
With Lizer Lee all on my knee.
So clear the track, let the Bullgine run.Oh the Marget Evans of the Blue Cross Line
She’s never a day behind her time.Oh the gels are walking on the pier
And I’ll soon be home to you, my dear.Oh when I come home across the sea,
It’s Lizer you will marry me.Oh shake her, wake her, before we’re gone;
Oh fetch that gel with the blue dress on.Oh I thought I heard the skipper say
“We’ll keep the brig three points away.”Oh the smartest clipper you can find
Is the Marget Evans of the Blue Cross Line"
8,"
                  Billy Riley |                     ","Oh Billy Riley, Mister Billy Riley
Oh Billy Riley oh
Billy Riley, Mister Billy Riley
Oh Billy Riley ohOh Billy Riley was a dancing master
Oh Billy Riley oh
Billy Riley was a dancing master
Oh Billy Riley ohOh Billy Riley shipped aboard a droger
Oh Billy Riley oh…Oh Billy Riley wed the skipper’s daughter
Oh Billy Riley oh…Oh Mrs Riley didn’t like sailors
Oh Mrs Riley oh…Oh Mrs Riley had a lovely daughter
Oh Mrs Riley oh…Oh Missy Riley, pretty Missy Riley
Oh Missy Riley oh…Oh Missy Riley, screw her up to Chile
Oh Missy Riley oh…Oh Billy Riley, Mister Billy Riley
Oh Billy Riley oh…"
9,"
                  Captain Kidd |                     ","Chorus:My name is Captain Kidd
As I sailed, as I sailed,
Oh my name is Captain Kidd as I sailed,
My name is Captain Kidd
And God’s laws I did forbid,
And most wickedly I did as I sailed.My father taught me well
To shun the gates of hell,
But against him I rebelled as I sailed,
He shoved a bible in my hand
But I left it in the sand
And I pulled away from land,
As I sailed[Chorus]I murdered William Moore
And I left him in his gore
Twenty leagues away from shore
As I sailed,
And being crueler still, the gunner I did kill
All his precious blood did spill,
As I sailed,[Chorus]I was sick and nigh to death,
And I vowed at every breath,
Oh to walk in wisdom’s path,
As I sailed
But my repentance lasted not,
My vows I soon forgot,
Oh damnation is my lot,
As I sailed.[Chorus]To the execution dock
Lay my head upon the block,
Laws no more I’ll mock as I sail,
So take warning here and heed
To shun bad company
Or you’ll wind up just like me
As I sailed."
