,title,lyrics
0,The 23rd of February,"
On the 23rd of February,
The weather being clear.
We spied to be sure seven Turkish men-of-war,
Come a sailing from Algier.
Chorus:
To me ri fol leather ol,
ri fol leather ol,
ri fol leather ol lay.
Rol a diddle i,
rol a diddle i,
to me ri fol leather ol lay.

2. Well the very first ship to come alongside,
Was called the Green Pea.
We fired to her a warning shot,
And quickly she did flee.
Chorus:

3. Well the very next ship to come alongside,
Was called the Prince so clear.
Commanded by the big Bagsham,
Come a sailing from Algier.
Chorus:

4. Well the very next ship to come alongside,
Was called the Rose and Crown.
We fired our broadside into her,
And quickly she went down.
Chorus:

5. Well the very next ship to come alongside,
Was called the Harp and Lyre.
We fired our pitch buckets into her,
And quickly she took fire.
Chorus:

6. Well two we sunk and two we took,
The rest they ran away,
And one we brought to Englands shore,
Just to show we won the day.
Chorus:
"
1,A-Cruising We Will Go,"
Behold upon the swelling seas
With streaming pennants gay,
Our gallant ship invites the waves,
While glory leads the way.
Chorus:
: And a-cruising we will go, oho, oho, oho! :
And a-cruising we will go, ooooooho,
And a-cruising we will go!

2. You beauteous maids, your smiles bestow,
For if you prove unkind,
How can we hope to beat the foe?
We leave our hearts behind.
Chorus:

3. See Hardy's flage once more displayed,
Upon the deck he stands;
Britannia's glory ne'er can fade,
Or tarnish in his hands.
Chorus:

4. Britain to herself but true,
To France defiance hurled,
Give peace, America, with you,
And war with all the world.
Chorus:
"
2,"Abel Brown, the Sailor","
Oh, where am I goin' to sleep tonight?
Sez Abel Brown the sailor.
You can sleep upon a mat,
Cried the fair young maiden.
2. Oh, the mat is rough, an' my skin ain't tough,
Sez Abel Brown the sailor.
You can sleep upon the shelf,
Cried the fair young maiden.

3. What 'ave you got upon the shelf?
Sez Abel Brown the sailor.
I've got some rum upon the shelf,
Cried the fair young maiden.

4. Me throat is long, an' me thirst is strong,
Sez Abel Brown the sailor.
What if you roll from off the shelf?
Cried the fair young maiden.

5. I'll bounce on the floor an' ask for more,
Sez Abel Brown the sailor.
What if police should come to the house?
Cried the fair young maiden.

6. I'll take 'em on in two's or three's,
Sez Abel Brown the sailor.
Then I'll let you stay with me,
Cried the fair young maiden.
"
3,Abschied,"
Holder Jüngling, willst du fliehen,
Willst nicht länger sein bei mir,
In die Ferne willst du ziehen,
Sag, mein Schatz, was tat ich dir?
Hörst du nicht die Wellen rauschen?
Ihr Getöse macht mir Schmerz,
Die Gesänge der Matrosen,
Die zerreißen mir das Herz.

2. Denkst du noch an jene Stunde,
Da wir uns zuerst gesehn?
Liebe floß aus deinem Munde,
Damals warst du jung und schön.
Damals warst du froh und heiter,
Damals warst du nie betrübt,
Und jetzt willst du wieder weiter,
Fort von der, die dich geliebt.

3. Ach, du hast im Heimatlande
Eine andre, die dich liebt,
Die sich knüpft an unsre Bande,
Die dich heimlich zu sich zieht.
Zürnst du mir, dann muß ich weinen,
Denn du warst mein einzig Glück,
Nimm mich mit hin zu den Deinen,
Laß mich nicht allein zurück.

4. Als der Jüngling sich Morgen
Früh aus ihren Armen wand,
Frei von Kummer, frei von Sorgen,
Eilt er an den Meeresstrand.
Oh, ihr Wellen, schafft mir Frieden,
Oh, ihr Wellen, schafft mir Ruh',
Fort von der, die er betrogen,
Decken ihn die Fluten zu.

"
4,Across the Western Ocean,"
O, the times are hard and the wages low
Amelia, where you bound?
The Rocky Mountains is my home
Across the Western Ocean.

2. It's a land of plenty there you'll see
Amelia, where you bound?
I'm off across the Western Sea.
Across the Western Ocean.

3. To Liverpool I'll make my way
Amelia, where you bound?
To Liverpool that Yankee school.
Across the Western Ocean.

4. There's Liverpool Pat with his tarpaulin hat
Amelia, where you bound?
And Yankee John the packet rat.
Across the Western Ocean.

5. Beware those packet ships, I pray,
Amelia, where you bound?
They'll steal your stores and your clothes away.
Across the Western Ocean.

6. Wives and sweethearts don't you cry
Amelia, where you bound?
Sons and daughters wave goodbye
Across the Western Ocean.

7. Oh the jobs were bad and wages low
Amelia, where you bound?
The Rocky Mountains will be my new home
Across the Western Ocean.
"
5,Admiral Benbow,"
Come all ye seamen bold,
And draw near, and draw near
Come all ye seamen bold,
And draw near
It is of an admiral's fame
O brave Benbow was his name
How he fought all on the main
You shall hear, you shall hear.

2. Brave Benbow he set sail,
For to fight, for to fight
Brave Benbow he set sail,
For to fight.
Brave Benbow he set sail,
With a fine and pleasant gale
But his captains they turn'd tail
In a fright, in a fright.

3. Says Kirby unto Wade,
""We will run, we will run.""
Says Kirby unto Wade,
""We will run.
For I value no disgrace
Or the losing of my place
But the enemy I won't face
Nor his guns, nor his guns.""

4. Then Ruby and Benbow
Fought the French, fought the French,
Then Ruby and Benbow
Fought the French.
They fought them up and down
'Til the blood came trickling down
'Til the blood came trickling down
Where they lay, where they lay.

5. Brave Benbow lost his legs
By chain shot, by chain shot,
Brave Benbow lost his legs
By chain shot.
Brave Benbow lost his legs
And all on his stumps he begs
Fight on, my English lads
'Tis our lot, 'tis our lot.

6. The surgeon dress'd his wounds,
Cries Benbow, cries Benbow,
The surgeon dress'd his wounds,
Cries Benbow.
""Let a cradle now in haste
On the quarterdeck be placed,
That the enemy I may face
'Til I die, 'til I die.
"
6,Alabama,"
When the Alabama's keel was laid
Roll Alabama, roll
They laid her keel at Birkenhead
Oh, roll Alabama, roll

2. Oh, she was built in Birkenhead
Roll Alabama, roll
Built in the yard of Jonathan Laird
Oh, roll Alabama, roll

3. Away down the Mersey she rolled one day
Roll Alabama, roll
And across the ""Western"" she ploughed her way
Oh, roll Alabama, roll

4. With British guns, oh, she was stocked
Roll Alabama, roll
She sailed from Fayal, in Cherbourg she docked
Oh, roll Alabama, roll

5. To fight the north Semmes did employ
Roll Alabama, roll
Any method to kill and destroy
Oh, roll Alabama, roll

6. But of Cherbourg the Kearsage lay tight
Roll Alabama, roll
Awaiting was Winslow to start a good fight
Oh, roll Alabama, roll

7. Outside the three mile limit they fought
Roll Alabama, roll
An Semmes escaped on a fine British yacht
Oh, roll Alabama, roll

8. The Kearsage wonAlabama so brave
Roll Alabama, roll
Sank to the bottom of a watery grave
Oh, roll Alabama, roll
"
7,Alabama John Cherokee,"
John Cherokee was an Indian man
 Alabama John Cherokee
He run away every time he can
Alabama John Cherokee, way, hey, yah
Alabama John Cherokee, way, hey, yah
Alabama John Cherokee

2. They put him aboard a Yankee ship
 Alabama John Cherokee
Again he gave the boss the slip
Alabama John Cherokee, way, hey, yah
Alabama John Cherokee, way, hey, yah
Alabama John Cherokee

3. They catch him again and chain him tight
 Alabama John Cherokee
And starve him many a day and night
Alabama John Cherokee, way, hey, yah
Alabama John Cherokee, way, hey, yah
Alabama John Cherokee

4. Nothing to drink and nothin to eat
 Alabama John Cherokee
He just fall dead at the boss's feet
Alabama John Cherokee, way, hey, yah
Alabama John Cherokee, way, hey, yah
Alabama John Cherokee

5. So they bury him by the old gate post
 Alabama John Cherokee
The very same day you can see his ghost
Alabama John Cherokee, way, hey, yah
Alabama John Cherokee, way, hey, yah
Alabama John Cherokee
"
8,Albertina,"
A schooner was built on the Baltic
Albertina, that was the schooner's name.
Pump her dry!
Albertina says the story,
Albertina's all for glory
Albertina, that was the schooner's name.
Pump her dry!
Chorus:
Albertina says the story,
Albertina's all for glory
Albertina, that was the schooner's name.

2. And the schooner is painted already,
She is painted in red and violet
Pump her dry!
She is painted, says the story,
She is painted all for glory,
She is painted in red and violet.
Pump her dry!
Chorus:

3. And the schooner is rigged out already,
She is rigged out with tackles and with ropes,
Pump her dry!
She is rigged out, says the story,
She is rigged out all for glory,
She is rigged out with tackles and with ropes.
Pump her dry!
Chorus:

4. And the schooner is charted already,
She is charted from Hamburg, homeward bound,
Pump her dry!
She is chartered, says the story,
She is chartered all for glory,
She is chartered from Hamburg, homeward bound.
Pump her dry!
Chorus:

5. And the schooner is loaded already,
She is loaded with beer and with wine,
Pump her dry!
She is loaded, says the story,
She is loaded all for glory,
She is loaded with beer and with wine.
Pump her dry!
Chorus:

6. And the schooner is sailing already,
She is sailing away from sight of land,
Pump her dry!
She is sailing, says the story,
She is sailing all for glory,
She is sailing away from sight of land.
Pump her dry!
Chorus:

7. And the schooner is stranded already,
She is stranded between the surf and reef,
Pump her dry!
She is stranded, says the story,
She is stranded all for glory,
She is stranded between the surf and reef.
Pump her dry!
Chorus:

8. And her headstone is written already,
It is written in Latin and in gold,
Pump her dry!
It is written, says the story,
It is written all for glory,
It is written in Latin and in gold.
Pump her dry!
Chorus:

9. On the beach there is a maiden weeping,
She is weeping for her lover on the beach,
Pump her dry!
She is weeping, says the story,
She is weeping all for glory,
She is weeping for her lover on the beach.
Pump her dry!
Chorus:
"
9,All For Me Grog,"
Chorus:
Well it's all for me grog, me jolly jolly grog,
It's all for me beer and tobacco.
For I spent all me tin on the lassies drinking gin,
Far across the western ocean I must wander.

Where are me boots, me noggin', noggin' boots,
They're all gone for beer and tobacco.
For the heels they are worn out and the toes are kicked about
And the soles are looking out for better weather.
Chorus:

2. Where is me shirt, me noggin', noggin' shirt,
It's all gone for beer and tobacco,
For the collar is all worn, and the sleeves they are all torn,
And the tail is looking out for better weather.
Chorus:

3. I'm sick in the head and I haven't been to bed,
Since first I came ashore from me slumber,
For I spent all me dough on the lassies don't you know,
Far across the western ocean I must wander.
Chorus:
"
10,All Things Are Quite Silent,"
All things are quite silent, each mortal at rest,
When me and my love got snug in one nest,
When a bold set of ruffians they entered our cave,
And they forced my dear jewel to plough the salt wave.
2. I begged hard for my sailor as though I begged for life.
They'd not listen to me although a fond wife,
Saying: ""The king he wants sailors, to the sea he must go,""
And they've left me lamenting in sorrow and woe.

3. Through green fields and meadows we ofttimes did walk,
And sweet conversation of love we have talked,
With the birds in the woodland so sweetly did sing,
And the lovely thrushes' voices made the valleys to ring.

4. Although my love's gone I will not be cast down.
Who knows but my sailor may once more return?
And will make me amends for all trouble and strife,
And my true love and I might live happy for life.
"
